"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
12,641778,"Lauer, Eric",12,100,0,0,,0,0,0,,0,3,,,2295,89.1,88.69,3,6,6,-0.3999999999999915,6.21,126,166,150,128,297,321,294
11,623211,"Brazoban, Huascar",11,100,,,,,0.689,0.689,,0,0,,,2052,90.1,88.98,2,3,8,-1.0999999999999943,5.74,93,146,135,152,290,322,297
11,548389,"Stripling, Ross",11,100,0.667,0,0.667,0.667,0.589,0.346,0.38,2,3,84.2,15.7,1915,87.5,87.28,1,7,4,-0.20000000000000284,6.09,121,153,117,157,290,321,306
11,542881,"Anderson, Tyler",11,100,0.667,1.333,1,2,1.111,0.746,0.48,2,3,91.3,18,2220,87.5,87.21,2,7,4,-0.29999999999999716,6.15,114,147,122,140,285,315,299
11,657277,"Webb, Logan",11,100,0,0,0,0,0,0.164,0.181,0,3,94.3,-17,1836,86.7,87.25,2,7,4,0.5999999999999943,6.74,123,152,132,152,288,339,305
11,656849,"Peterson, David",11,100,0,0,,0,0.344,0.344,,0,1,,,2139,88.6,89.56,1,2,9,1,7.1,125,169,108,154,284,327,307
11,592332,"Gausman, Kevin",11,100,0,0,0,0,0,0.11,0.12,0,3,91.8,-10,1665,88.5,88.65,3,8,3,0.09999999999999432,6.59,123,151,121,156,285,325,303
11,468504,"Chacín, Jhoulys",11,100,0.667,0.333,0.667,1,0.715,0.417,0.418,2,3,98.7,15.7,2352,88,87.52,1,6,5,-0.5,5.97,113,146,137,151,305,339,298
11,541640,"Ramírez, Erasmo",11,100,0,0,0,0,0.23,0.46,0.342,0,2,96.2,25,2146,89.2,89.34,1,4,7,0.09999999999999432,6.38,125,160,142,153,303,321,316
11,593423,"Montas, Frankie",11,100,0.333,0.333,0.333,0.667,0.42,0.347,0.355,1,3,87.5,7.3,1802,89.8,89.29,1,8,3,-0.5,5.91,116,166,143,144,293,331,308
10,642545,"Barría, Jaime",10,100,0.667,2,0,2.667,1.381,0.83,0.411,2,3,97,43.7,1967,87.8,87.37,1,8,2,-0.3999999999999915,6.11,121,155,147,174,290,330,296
10,592761,"Smith, Caleb",10,100,0.5,0,0.5,0.5,0.524,0.293,0.102,1,2,81.6,-20.5,2356,89.9,88.6,1,4,6,-1.3000000000000114,5.78,121,149,113,153,298,325,293
10,669713,"Wesneski, Hayden",10,100,0,0,0,0,0,0.125,0.179,0,2,73.5,-14.7,2152,89.4,89.82,1,7,3,0.3999999999999915,6.69,107,149,111,151,299,329,312
9,542888,"Armstrong, Shawn",9,100,0,0,,0,0.344,0.344,,0,1,,,2323,89.9,90.22,3,4,5,0.29999999999999716,6.57,105,165,147,149,292,322,322
9,663776,"Sandoval, Patrick",9,100,0.5,0.5,0.5,1,0.65,0.521,0.433,1,2,86.3,16,2410,87.4,86.58,0,3,6,-0.8000000000000114,5.91,95,155,109,165,288,333,304
9,669302,"Gilbert, Logan",9,100,0,0,0,0,0.344,0.358,0.02,0,1,84.4,50,2006,91.6,93.56,1,4,5,2,7.31,97,153,113,147,296,322,308
9,456034,"Price, David",9,100,1,0,1,1,0.884,0.504,0.557,1,1,103.3,5,1995,89.6,88.86,0,6,3,-0.6999999999999886,6.04,124,150,136,154,285,322,296
9,623167,"Flexen, Chris",9,100,0.5,0,0.5,0.5,0.524,0.538,0.477,1,2,88,30,2078,84.7,84.12,0,3,6,-0.6000000000000085,6.03,121,168,117,152,286,320,304
9,595345,"Okert, Steven",9,100,0.333,0.333,0.333,0.667,0.42,0.443,0.482,1,3,93.3,3.7,2362,89.1,89.03,2,7,2,-0.09999999999999432,6.49,125,152,153,153,293,322,311
9,663372,"Feltner, Ryan",9,100,0.667,0.667,1,1.333,0.828,0.54,0.345,2,3,95,23.5,2117,87.6,87.89,2,5,4,0.30000000000001137,6.46,122,163,120,151,294,330,291
9,606625,"Moronta, Reyes",9,100,0.5,0,0.5,0.5,0.442,0.153,0.164,1,2,50.1,-34,2105,91.3,91.67,2,5,4,0.4000000000000057,6.5,124,153,151,154,296,322,300
9,621111,"Buehler, Walker",9,100,0.5,0.5,0.5,1,0.65,0.4,0.282,1,2,99,-21,2499,87.2,87.77,1,5,4,0.5999999999999943,6.59,89,159,140,151,296,319,303
9,664062,"Gonsolin, Tony",9,100,0,0,0,0,0,0.194,0.205,0,2,93.8,3,1862,85.8,85.4,2,6,3,-0.3999999999999915,6.02,106,157,134,150,287,322,297
9,656353,"Davidson, Tucker",9,100,0,0,0,0,0,0.157,0.171,0,2,77.9,-43,2183,89.8,89.77,0,4,5,0,6.32,122,153,116,154,299,338,301
8,642547,"Peralta, Freddy",8,100,0.5,0.5,1,1,0.631,0.606,0.387,1,2,105.9,21,2280,88.6,89.24,2,5,3,0.6000000000000085,6.94,100,147,120,147,291,324,293
8,622694,"Hernandez, Elieser",8,100,0.667,1,0.5,1.667,0.985,0.467,0.349,2,3,88.2,15,2086,87.6,87.76,1,5,3,0.20000000000000284,6.56,126,156,124,155,300,326,286
8,547001,"Poteet, Cody",8,100,0,0,0,0,0,0.289,0.312,0,1,102.4,-5,2159,91.4,90.65,1,4,4,-0.7000000000000028,6.04,88,145,142,147,292,315,309
8,664948,"Misiewicz, Anthony",8,100,1,1,1,2,1.261,0.604,0.506,1,1,105.1,18,2629,83.3,82.24,1,5,3,-1.0999999999999943,5.76,128,170,138,153,284,317,293
